0.00053889,1.7481,8.6184,0.8355,2.0034,2.3276,0.0030357,1.3894,9.1912,0.79169
0.00073203,1.7458,2.2147,0.89562,2.0543,2.2927,0.0071641,1.4932,2.7673,0.73074
0.00067057,1.7466,1.9783,0.98266,2.1485,2.3214,0.0073599,1.3273,2.4392,0.76746
0.00069827,1.7456,1.7693,1.072,2.2333,2.2935,0.0075228,1.22,2.5591,0.75504
0.0007517,1.7454,1.6615,1.1434,2.3086,2.3022,0.0074986,1.2747,2.4847,0.7559
0.00083156,1.7444,1.5669,1.1991,2.3604,2.3291,0.0077791,1.0664,2.6571,0.76638
0.00091862,1.7455,1.5189,1.2907,2.4572,2.2884,0.0074785,1.4404,2.3436,0.763
0.0010322,1.7477,1.4645,1.3628,2.5264,2.2937,0.0075917,1.498,2.3128,0.75942
0.0011621,1.7446,1.3971,1.4036,2.5624,2.2852,0.0085335,0.80885,2.9647,0.7632
0.001332,1.7437,1.3593,1.4461,2.6114,2.287,0.0088087,0.90546,2.8429,0.75919
0.0015106,1.7441,1.3391,1.5217,2.6767,2.2835,0.0086018,1.2439,2.5787,0.82897
0.0016287,1.7437,1.3795,1.7521,2.9198,2.3863,0.0066016,2.7492,1.4836,0.69337
0.0018529,1.7458,1.3197,1.7715,2.939,2.319,0.007413,2.3628,1.7464,0.75533
0.0020914,1.7425,1.2898,1.8189,2.9798,2.3382,0.0076764,2.3121,1.7644,0.76706
0.002435,1.7385,1.2709,1.8238,2.9859,2.3247,0.0079516,2.3389,1.7279,0.75886
0.0027484,1.7503,1.2472,1.8678,3.0293,2.3338,0.0080551,2.3719,1.7371,0.76345
0.0031273,1.7423,1.2188,1.8806,3.0376,2.2899,0.008423,2.2915,1.8762,0.74635
0.0032796,1.7458,1.1943,2.0834,3.2546,2.3398,0.00822,2.2784,2.0114,0.77605
0.0036053,1.761,1.1561,2.1433,3.3178,2.3111,0.0094202,1.5856,2.6701,0.74001
0.0038327,1.7255,1.1354,2.4956,3.6222,2.3103,0.0092405,1.4965,3.0004,0.78242
0.0043383,1.7387,1.1179,2.7284,3.8703,2.297,0.009042,1.7276,2.9809,0.73705
0.0047311,1.7758,1.0965,3.4286,4.6403,2.3078,0.0091147,1.7828,3.6515,0.78534
0.0052212,1.7863,1.0705,4.4597,5.6155,2.2895,0.00934,1.8951,5.3666,0.73484
0.0057064,1.6934,1.0473,6.5844,7.8598,2.3065,0.0088869,2.6024,5.1639,0.78753
